Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11846,2025-10-25,vfb suhl lotto thüringen,, ,1,naujack svea,8,4,4,7,1,-,24,3,33%,21%,17,-,-,7,41%,1
11846,2025-10-25,vfb suhl lotto thüringen,, ,2,ramos mencia irene del carmen,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,3,nagels lara,2,2,-2,11,2,-,-,-,.,.,4,1,1,1,25%,1
11846,2025-10-25,vfb suhl lotto thüringen,, ,4,laakkonen roosa,5,1,5,13,-,-,-,-,.,.,6,-,-,4,67%,1
11846,2025-10-25,vfb suhl lotto thüringen,, ,5,hartmann hannah,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,7,sambale emma (l),-,-,-,-,-,-,12,-,58%,17%,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,8,foley mackenzie,10,5,-1,13,3,1,13,2,62%,46%,22,2,4,9,41%,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,9,dotson sanaa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,11,berger laura,4,3,4,14,-,1,-,-,.,.,4,-,-,2,50%,1
11846,2025-10-25,vfb suhl lotto thüringen,, ,16,negri leandra rixa,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,20,lai xiang-chen (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,25,brancuska monika,22,9,20,10,1,2,1,-,100%,100%,36,1,-,20,56%,-
11846,2025-10-25,vfb suhl lotto thüringen,, ,,totals,51,24,30,68,7,4,50,5,48%,28%,89,4,5,43,48%,4
